time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,22,10,0,0
2026-04-20 00:00:00+00:00,44,19,0,0
2026-04-21 00:00:00+00:00,39,21,0,0
2026-04-22 00:00:00+00:00,60,22,0,0
2026-04-23 00:00:00+00:00,77,26,0,0
2026-04-24 00:00:00+00:00,86,28,0,0
2026-04-25 00:00:00+00:00,57,21,0,0
2026-04-26 00:00:00+00:00,36,10,0,0
2026-04-27 00:00:00+00:00,15,5,1,1
2026-04-28 00:00:00+00:00,29,7,0,0
2026-04-29 00:00:00+00:00,15,5,0,0
2026-04-30 00:00:00+00:00,16,8,0,0
2026-05-01 00:00:00+00:00,33,7,0,0
2026-05-02 00:00:00+00:00,36,10,0,0
